A235Frp50000	status=ok	startTime=2022-03-05-15-53-51-084341	specDigest=453db8a43356c27992d3e61e33ebf4fafc92725a	summary=1 tasks (1 changed, 1 ok, 0 failed, 0 unknown, 0 skipped)	changelog=jobs/job2022-03-05-15-53-51-084341.yaml
A235Frp50001	previousId=	status=ok	target=::shellscript-example	operation=configure	digestKeys=command	digestValue=2e66a51cdbbd8b69ed7bc48f373638b93a0042f5	summary=configure on instance shellscript-example (type tosca.nodes.Root, status ok) using configurator for add: Standard.configure (unfurl.configurators.shell.ShellConfigurator), priority: required, reason: add
A235GWGl0000	status=ok	startTime=2022-03-05-16-32-16-762399	specDigest=fffde9f0598f15d947b1100fa43fdc88761b29eb	startCommit=974dae412e56323be541fc135048ab114a9ce7ce	summary=1 tasks (1 changed, 1 ok, 0 failed, 0 unknown, 0 skipped)	changelog=jobs/job2022-03-05-16-32-16-762399.yaml
A235GWGl0001	previousId=	status=ok	target=::shellscript-example	operation=configure	digestKeys=command	digestValue=2e66a51cdbbd8b69ed7bc48f373638b93a0042f5	summary=configure on instance shellscript-example (type tosca.nodes.Root, status ok) using configurator for add: Standard.configure (unfurl.configurators.shell.ShellConfigurator), priority: required, reason: add
A235GdKe0000	status=ok	startTime=2022-03-05-16-39-20-661479	specDigest=fffde9f0598f15d947b1100fa43fdc88761b29eb	startCommit=32d7ec7c5a7730d0c5c62ae81edf14e617ca4cac	summary=1 tasks (1 changed, 1 ok, 0 failed, 0 unknown, 0 skipped)	changelog=jobs/job2022-03-05-16-39-20-661479.yaml
A235GdKe0001	previousId=	status=ok	target=::shellscript-example	operation=configure	digestKeys=command	digestValue=2e66a51cdbbd8b69ed7bc48f373638b93a0042f5	summary=configure on instance shellscript-example (type tosca.nodes.Root, status ok) using configurator for add: Standard.configure (unfurl.configurators.shell.ShellConfigurator), priority: required, reason: add
